INFO:util:Preprocessing dataset: species
INFO:pso:Using device: cpu
INFO:pso:Iteration 133/1000, Training Accuracy: 0.8101, Validation Accuracy: 0.7890
INFO:pso:Iteration 134/1000, Training Accuracy: 0.8102, Validation Accuracy: 0.7890
INFO:pso:Iteration 135/1000, Training Accuracy: 0.8102, Validation Accuracy: 0.7890
INFO:pso:Iteration 136/1000, Training Accuracy: 0.8102, Validation Accuracy: 0.7891
INFO:pso:Iteration 137/1000, Training Accuracy: 0.8103, Validation Accuracy: 0.7892
INFO:pso:Iteration 138/1000, Training Accuracy: 0.8104, Validation Accuracy: 0.7892
INFO:pso:Iteration 139/1000, Training Accuracy: 0.8104, Validation Accuracy: 0.7893
INFO:pso:Iteration 140/1000, Training Accuracy: 0.8105, Validation Accuracy: 0.7894
INFO:pso:Iteration 141/1000, Training Accuracy: 0.8106, Validation Accuracy: 0.7895
INFO:pso:Iteration 142/1000, Training Accuracy: 0.8107, Validation Accuracy: 0.7896
INFO:pso:Iteration 143/1000, Training Accuracy: 0.8108, Validation Accuracy: 0.7897
INFO:pso:Iteration 144/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7898
INFO:pso:Iteration 145/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7898
INFO:pso:Iteration 146/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7898
INFO:pso:Iteration 147/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7898
INFO:pso:Iteration 148/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 149/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 150/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 151/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 152/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 153/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 154/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 155/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 156/1000, Training Accuracy: 0.8110, Validation Accuracy: 0.7899
INFO:pso:Iteration 157/1000, Training Accuracy: 0.8111, Validation Accuracy: 0.7899
INFO:pso:Iteration 158/1000, Training Accuracy: 0.8111, Validation Accuracy: 0.7900
INFO:pso:Iteration 159/1000, Training Accuracy: 0.8112, Validation Accuracy: 0.7901
INFO:pso:Iteration 160/1000, Training Accuracy: 0.8113, Validation Accuracy: 0.7901
INFO:pso:Iteration 161/1000, Training Accuracy: 0.8113, Validation Accuracy: 0.7902
INFO:pso:Iteration 162/1000, Training Accuracy: 0.8113, Validation Accuracy: 0.7902
INFO:pso:Iteration 163/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7902
INFO:pso:Iteration 164/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7902
INFO:pso:Iteration 165/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 166/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 167/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 168/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 169/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 170/1000, Training Accuracy: 0.8114, Validation Accuracy: 0.7903
INFO:pso:Iteration 171/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 172/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 173/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 174/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 175/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 176/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 177/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 178/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 179/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 180/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 181/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 182/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 183/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 184/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 185/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 186/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 187/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 188/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 189/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 190/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 191/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 192/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 193/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 194/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 195/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 196/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 197/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 198/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 199/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 200/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 201/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 202/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 203/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
INFO:pso:Iteration 204/1000, Training Accuracy: 0.8115, Validation Accuracy: 0.7903
