Dataset,Method,Test Accuracy,Train Accuracy,Runtime
part,lda,0.4523809523809524,0.7261904761904762,0
part,lda,0.5,0.6666666666666666,0
part,lda,0.4523809523809524,0.6428571428571428,0
part,lda,0.5,0.6666666666666666,0
part,lda,0.4761904761904762,0.6904761904761906,0
part,lda,0.0,0.0,0
part,lda,0.4047619047619048,0.7142857142857143,0
part,lda,0.3333333333333333,0.7142857142857143,0
part,lda,0.4523809523809524,0.7023809523809524,0
part,lda,0.4047619047619048,0.7023809523809524,0
part,lda,0.4761904761904762,0.6785714285714285,0
part,lda,0.4285714285714285,0.7142857142857143,0
part,lr,0.6666666666666666,1.0,0
part,lr,0.6666666666666666,1.0,0
part,lr,0.6666666666666666,1.0,0
part,lr,0.6666666666666666,1.0,0
part,lr,0.6666666666666666,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6428571428571429,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.6190476190476191,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5952380952380952,1.0,0
part,lr,0.5714285714285715,1.0,0
part,lr,0.5714285714285714,1.0,0
part,lr,0.5476190476190476,1.0,0
part,lr,0.5476190476190476,1.0,0
part,lr,0.5476190476190476,1.0,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,lstm,0.1428571428571428,0.1309523809523809,0
part,lstm,0.1428571428571428,0.119047619047619,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1666666666666666,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1428571428571428,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1666666666666666,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1547619047619047,0
part,lstm,0.1428571428571428,0.1785714285714285,0
part,lstm,0.1428571428571428,0.0952380952380952,0
