Name,State,Created,Runtime,dataset,model,train_balanced_accuracy,val_balanced_accuracy,summary,config
super-feather-1807,finished,2026-02-12T03:31:43.000Z,30,species,lr,1,0.98125,,
grateful-sky-1795,finished,2026-02-12T03:25:17.000Z,31,species,lr,1,0.98125,,
vague-yogurt-1792,finished,2026-02-12T03:23:41.000Z,33,species,lr,1,0.98125,,
sage-lake-1813,finished,2026-02-12T03:34:51.000Z,30,species,lr,1,0.975,,
wandering-dragon-1803,finished,2026-02-12T03:29:34.000Z,31,species,lr,1,0.975,,
autumn-glitter-1806,finished,2026-02-12T03:31:11.000Z,31,species,lr,1,0.9729166666666668,,
dry-galaxy-1787,finished,2026-02-12T03:21:02.000Z,31,species,lr,1,0.9729166666666668,,
wobbly-cloud-1811,finished,2026-02-12T03:33:49.000Z,30,species,lr,1,0.9729166666666668,,
clear-plant-1789,finished,2026-02-12T03:22:06.000Z,31,species,lr,1,0.9666666666666668,,
crisp-dragon-1802,finished,2026-02-12T03:29:02.000Z,31,species,lr,1,0.9645833333333332,,
atomic-eon-1805,finished,2026-02-12T03:30:38.000Z,32,species,lr,1,0.9645833333333332,,
dandy-yogurt-1808,finished,2026-02-12T03:32:14.000Z,31,species,lr,1,0.9645833333333332,,
young-dream-1800,finished,2026-02-12T03:27:58.000Z,31,species,lr,1,0.9645833333333332,,
lunar-bird-1796,finished,2026-02-12T03:25:49.000Z,32,species,lr,1,0.9645833333333332,,
hopeful-serenity-1797,finished,2026-02-12T03:26:22.000Z,31,species,lr,1,0.9645833333333332,,
devoted-cosmos-1794,finished,2026-02-12T03:24:46.000Z,30,species,lr,1,0.9645833333333332,,
earthy-deluge-1799,finished,2026-02-12T03:27:26.000Z,31,species,lr,1,0.9645833333333332,,
copper-voice-1790,finished,2026-02-12T03:22:37.000Z,32,species,lr,1,0.9625,,
rural-lake-1801,finished,2026-02-12T03:28:30.000Z,32,species,lr,1,0.9625,,
good-meadow-1812,finished,2026-02-12T03:34:20.000Z,30,species,lr,1,0.9625,,
azure-spaceship-1786,finished,2026-02-12T03:20:31.000Z,30,species,lr,1,0.9583333333333334,,
young-dust-1810,finished,2026-02-12T03:33:17.000Z,31,species,lr,1,0.95625,,
polar-brook-1804,finished,2026-02-12T03:30:06.000Z,31,species,lr,1,0.95625,,
absurd-river-1785,finished,2026-02-12T03:19:59.000Z,31,species,lr,1,0.9541666666666666,,
electric-water-1798,finished,2026-02-12T03:26:54.000Z,31,species,lr,1,0.9458333333333332,,
decent-wave-1809,finished,2026-02-12T03:32:46.000Z,30,species,lr,1,0.9375,,
fallen-butterfly-1945,finished,2026-02-12T04:41:57.000Z,27,species,xgb,1,0.9895833333333334,,
fast-snowball-1946,finished,2026-02-12T04:42:25.000Z,28,species,xgb,1,0.9895833333333334,,
fresh-lion-1936,finished,2026-02-12T04:37:45.000Z,27,species,xgb,1,0.9895833333333334,,
tough-spaceship-1947,finished,2026-02-12T04:42:54.000Z,27,species,xgb,1,0.9895833333333334,,
good-spaceship-1942,finished,2026-02-12T04:40:34.000Z,26,species,xgb,1,0.9895833333333334,,
fancy-brook-1956,finished,2026-02-12T04:47:14.000Z,29,species,xgb,1,0.9895833333333334,,
eager-pyramid-1960,finished,2026-02-12T04:49:13.000Z,29,species,xgb,1,0.9895833333333334,,
curious-river-1955,finished,2026-02-12T04:46:44.000Z,29,species,xgb,1,0.9895833333333334,,
twilight-feather-1953,finished,2026-02-12T04:45:45.000Z,28,species,xgb,1,0.9895833333333334,,
swift-grass-1954,finished,2026-02-12T04:46:15.000Z,28,species,xgb,1,0.9895833333333334,,
ruby-dust-1961,finished,2026-02-12T04:49:43.000Z,27,species,xgb,1,0.9895833333333334,,
gallant-firefly-1935,finished,2026-02-12T04:37:17.000Z,27,species,xgb,1,0.9895833333333334,,
rosy-vortex-1959,finished,2026-02-12T04:48:43.000Z,29,species,xgb,1,0.9895833333333334,,
summer-music-1952,finished,2026-02-12T04:45:15.000Z,29,species,xgb,1,0.9895833333333334,,
legendary-wave-1949,finished,2026-02-12T04:43:49.000Z,28,species,xgb,1,0.9895833333333334,,
eager-plasma-1962,finished,2026-02-12T04:50:11.000Z,29,species,xgb,1,0.9895833333333334,,
drawn-firefly-1938,finished,2026-02-12T04:38:42.000Z,26,species,xgb,1,0.9895833333333334,,
zany-wave-1943,finished,2026-02-12T04:41:01.000Z,27,species,xgb,1,0.9895833333333334,,
peach-field-1957,finished,2026-02-12T04:47:44.000Z,29,species,xgb,1,0.9895833333333334,,
astral-bush-1940,finished,2026-02-12T04:39:37.000Z,27,species,xgb,1,0.9895833333333334,,
vital-universe-1948,finished,2026-02-12T04:43:21.000Z,27,species,xgb,1,0.9791666666666666,,
revived-sunset-1941,finished,2026-02-12T04:40:06.000Z,27,species,xgb,1,0.9791666666666666,,
spring-microwave-1963,finished,2026-02-12T04:50:41.000Z,27,species,xgb,1,0.9791666666666666,,
tough-galaxy-1950,finished,2026-02-12T04:44:17.000Z,28,species,xgb,1,0.9791666666666666,,
worthy-wildflower-1944,finished,2026-02-12T04:41:29.000Z,27,species,xgb,1,0.9791666666666666,,
celestial-sponge-1937,finished,2026-02-12T04:38:13.000Z,28,species,xgb,1,0.9791666666666666,,
