INFO:__main__:Dataset: species
INFO:train:Epoch [60/10000], Train Loss: 111507.7812 	 Train Accuracy: 0.5000 	 Val Loss: 15348.7178 	 Val Accuracy: 0.3182
INFO:train:Epoch [61/10000], Train Loss: 111813.4473 	 Train Accuracy: 0.5455 	 Val Loss: 15348.7246 	 Val Accuracy: 0.3409
INFO:train:Epoch [62/10000], Train Loss: 111029.5488 	 Train Accuracy: 0.5824 	 Val Loss: 15337.2217 	 Val Accuracy: 0.2955
INFO:train:Epoch [63/10000], Train Loss: 111782.3672 	 Train Accuracy: 0.4545 	 Val Loss: 15336.6885 	 Val Accuracy: 0.3409
INFO:train:Epoch [64/10000], Train Loss: 112281.0293 	 Train Accuracy: 0.6605 	 Val Loss: 15309.5254 	 Val Accuracy: 0.2273
INFO:train:Epoch [65/10000], Train Loss: 110946.1367 	 Train Accuracy: 0.5611 	 Val Loss: 15322.3066 	 Val Accuracy: 0.2727
INFO:train:Epoch [66/10000], Train Loss: 111413.0996 	 Train Accuracy: 0.3558 	 Val Loss: 15302.6631 	 Val Accuracy: 0.3636
INFO:train:Epoch [67/10000], Train Loss: 110272.6934 	 Train Accuracy: 0.4240 	 Val Loss: 15301.9404 	 Val Accuracy: 0.2727
INFO:train:Epoch [68/10000], Train Loss: 110622.8359 	 Train Accuracy: 0.5156 	 Val Loss: 15297.6836 	 Val Accuracy: 0.1818
INFO:train:Epoch [69/10000], Train Loss: 111522.9512 	 Train Accuracy: 0.4460 	 Val Loss: 15282.1113 	 Val Accuracy: 0.2727
INFO:train:Epoch [70/10000], Train Loss: 111739.9375 	 Train Accuracy: 0.4162 	 Val Loss: 15278.6543 	 Val Accuracy: 0.2727
INFO:train:Epoch [71/10000], Train Loss: 111113.8340 	 Train Accuracy: 0.5447 	 Val Loss: 15281.8574 	 Val Accuracy: 0.2273
INFO:train:Epoch [72/10000], Train Loss: 111793.6895 	 Train Accuracy: 0.4538 	 Val Loss: 15250.8486 	 Val Accuracy: 0.2045
INFO:train:Epoch [73/10000], Train Loss: 111222.4160 	 Train Accuracy: 0.4382 	 Val Loss: 15237.8359 	 Val Accuracy: 0.2273
INFO:train:Epoch [74/10000], Train Loss: 111001.7520 	 Train Accuracy: 0.4695 	 Val Loss: 15242.3750 	 Val Accuracy: 0.2955
INFO:train:Epoch [75/10000], Train Loss: 110711.0254 	 Train Accuracy: 0.4915 	 Val Loss: 15239.5840 	 Val Accuracy: 0.2273
INFO:train:Epoch [76/10000], Train Loss: 111385.6094 	 Train Accuracy: 0.4702 	 Val Loss: 15229.6631 	 Val Accuracy: 0.2955
INFO:train:Epoch [77/10000], Train Loss: 110641.0176 	 Train Accuracy: 0.6136 	 Val Loss: 15211.8574 	 Val Accuracy: 0.2500
INFO:train:Epoch [78/10000], Train Loss: 110283.6660 	 Train Accuracy: 0.5540 	 Val Loss: 15178.7090 	 Val Accuracy: 0.2727
INFO:train:Epoch [79/10000], Train Loss: 111091.9082 	 Train Accuracy: 0.5384 	 Val Loss: 15202.9395 	 Val Accuracy: 0.2273
INFO:train:Epoch [80/10000], Train Loss: 111998.1895 	 Train Accuracy: 0.5071 	 Val Loss: 15177.0322 	 Val Accuracy: 0.2955
INFO:train:Epoch [81/10000], Train Loss: 110779.4902 	 Train Accuracy: 0.4091 	 Val Loss: 15162.1465 	 Val Accuracy: 0.2727
INFO:train:Epoch [82/10000], Train Loss: 110953.9473 	 Train Accuracy: 0.4929 	 Val Loss: 15153.7246 	 Val Accuracy: 0.2045
INFO:train:Epoch [83/10000], Train Loss: 112156.8027 	 Train Accuracy: 0.4624 	 Val Loss: 15136.3232 	 Val Accuracy: 0.2955
INFO:train:Epoch [84/10000], Train Loss: 111552.6602 	 Train Accuracy: 0.3246 	 Val Loss: 15136.9229 	 Val Accuracy: 0.2500
INFO:train:Epoch [85/10000], Train Loss: 110708.5234 	 Train Accuracy: 0.5135 	 Val Loss: 15137.6426 	 Val Accuracy: 0.2955
INFO:train:Epoch [86/10000], Train Loss: 111464.0840 	 Train Accuracy: 0.5149 	 Val Loss: 15110.8857 	 Val Accuracy: 0.2727
INFO:train:Epoch [87/10000], Train Loss: 110038.5977 	 Train Accuracy: 0.4631 	 Val Loss: 15057.8799 	 Val Accuracy: 0.2273
INFO:train:Epoch [88/10000], Train Loss: 110629.2812 	 Train Accuracy: 0.4474 	 Val Loss: 15068.4404 	 Val Accuracy: 0.2273
INFO:train:Epoch [89/10000], Train Loss: 109945.0137 	 Train Accuracy: 0.4773 	 Val Loss: 15088.7930 	 Val Accuracy: 0.2500
INFO:train:Epoch [90/10000], Train Loss: 110128.3887 	 Train Accuracy: 0.4538 	 Val Loss: 15044.3613 	 Val Accuracy: 0.2955
INFO:train:Epoch [91/10000], Train Loss: 109501.4023 	 Train Accuracy: 0.5227 	 Val Loss: 15040.1582 	 Val Accuracy: 0.1818
INFO:train:Epoch [92/10000], Train Loss: 109538.4023 	 Train Accuracy: 0.4702 	 Val Loss: 15017.8594 	 Val Accuracy: 0.2500
INFO:train:Epoch [93/10000], Train Loss: 109859.0703 	 Train Accuracy: 0.4311 	 Val Loss: 14999.9346 	 Val Accuracy: 0.1591
