Generation,Operation,Total_Time,Calls,Average_Time
21,Average_Crossover,0.00397212,22,0.000180551
21,Average_Mutation,6.45607e-05,22,2.93458e-06
21,Elitism,0.00521049,22,0.00023684
21,Fitness_Statistics,3.6451e-05,22,1.65686e-06
21,Parent_Selection,0.034149,22,0.00155223
21,Population_Completion,9.32e-07,22,4.23636e-08
21,Population_Evaluation,4241.48,22,192.795
21,Total_Breeding,0.413687,22,0.018804
22,Accuracy_Calculation,15.0226,23,0.653155
22,Average_Crossover,0.00409973,23,0.000178249
22,Average_Mutation,6.6824e-05,23,2.90539e-06
22,Elitism,0.00538795,23,0.000234259
22,Fitness_Statistics,3.7954e-05,23,1.65017e-06
22,Parent_Selection,0.03562,23,0.00154869
22,Population_Completion,9.72e-07,23,4.22609e-08
22,Population_Evaluation,4293.53,23,186.675
22,Total_Breeding,0.427362,23,0.0185809
23,Accuracy_Calculation,15.5794,24,0.64914
23,Average_Crossover,0.00423727,24,0.000176553
23,Average_Mutation,6.89634e-05,24,2.87347e-06
23,Elitism,0.0055698,24,0.000232075
23,Fitness_Statistics,3.9326e-05,24,1.63858e-06
23,Parent_Selection,0.0366784,24,0.00152827
23,Population_Completion,1.012e-06,24,4.21667e-08
23,Population_Evaluation,4358.5,24,181.604
23,Total_Breeding,0.441559,24,0.0183983
24,Accuracy_Calculation,16.1217,25,0.644869
24,Average_Crossover,0.00436146,25,0.000174459
24,Average_Mutation,7.19191e-05,25,2.87676e-06
24,Elitism,0.00575669,25,0.000230268
24,Fitness_Statistics,4.0749e-05,25,1.62996e-06
24,Parent_Selection,0.0377819,25,0.00151127
24,Population_Completion,1.052e-06,25,4.208e-08
24,Population_Evaluation,4418.2,25,176.728
24,Total_Breeding,0.454537,25,0.0181815
25,Accuracy_Calculation,16.6545,26,0.640557
25,Average_Crossover,0.00450884,26,0.000173417
25,Average_Mutation,7.50264e-05,26,2.88563e-06
25,Elitism,0.00597202,26,0.000229693
25,Fitness_Statistics,4.2182e-05,26,1.62238e-06
25,Parent_Selection,0.0389357,26,0.00149753
25,Population_Completion,1.103e-06,26,4.24231e-08
25,Population_Evaluation,4494.07,26,172.849
25,Total_Breeding,0.469797,26,0.0180691
26,Accuracy_Calculation,17.2046,27,0.637208
26,Average_Crossover,0.00463529,27,0.000171678
26,Average_Mutation,7.7865e-05,27,2.88389e-06
26,Elitism,0.00619344,27,0.000229387
26,Fitness_Statistics,4.4256e-05,27,1.63911e-06
26,Parent_Selection,0.0496179,27,0.0018377
26,Population_Completion,1.143e-06,27,4.23333e-08
26,Population_Evaluation,4562.26,27,168.972
26,Total_Breeding,0.492593,27,0.0182442
27,Accuracy_Calculation,17.7678,28,0.634565
27,Average_Crossover,0.00475866,28,0.000169952
27,Average_Mutation,8.07388e-05,28,2.88353e-06
27,Elitism,0.00642738,28,0.000229549
27,Fitness_Statistics,4.6761e-05,28,1.67004e-06
27,Parent_Selection,0.0512655,28,0.00183091
27,Population_Completion,1.183e-06,28,4.225e-08
27,Population_Evaluation,4647.98,28,165.999
27,Total_Breeding,0.506064,28,0.0180737
28,Accuracy_Calculation,18.3134,29,0.631498
28,Average_Crossover,0.00488463,29,0.000168436
28,Average_Mutation,8.35476e-05,29,2.88095e-06
28,Elitism,0.00661279,29,0.000228027
28,Fitness_Statistics,4.9206e-05,29,1.69676e-06
28,Parent_Selection,0.0537567,29,0.00185368
28,Population_Completion,1.223e-06,29,4.21724e-08
28,Population_Evaluation,4721.18,29,162.799
28,Total_Breeding,0.520623,29,0.0179525
29,Accuracy_Calculation,18.9145,30,0.630483
29,Average_Crossover,0.00502026,30,0.000167342
29,Average_Mutation,8.71422e-05,30,2.90474e-06
29,Elitism,0.00684201,30,0.000228067
29,Fitness_Statistics,5.128e-05,30,1.70933e-06
29,Parent_Selection,0.0583872,30,0.00194624
29,Population_Completion,1.283e-06,30,4.27667e-08
29,Population_Evaluation,4853.52,30,161.784
29,Total_Breeding,0.538263,30,0.0179421
30,Accuracy_Calculation,19.4321,31,0.626843
30,Average_Crossover,0.00514559,31,0.000165987
30,Average_Mutation,9.05526e-05,31,2.92105e-06
30,Elitism,0.00702523,31,0.00022662
30,Fitness_Statistics,5.2813e-05,31,1.70365e-06
30,Parent_Selection,0.0597601,31,0.00192775
30,Population_Completion,1.323e-06,31,4.26774e-08
30,Population_Evaluation,5000.03,31,161.291
30,Total_Breeding,0.551632,31,0.0177946
31,Accuracy_Calculation,19.9963,32,0.624883
31,Average_Crossover,0.00527214,32,0.000164754
31,Average_Mutation,9.29849e-05,32,2.90578e-06
31,Elitism,0.00720945,32,0.000225295
31,Fitness_Statistics,5.4206e-05,32,1.69394e-06
31,Parent_Selection,0.0611687,32,0.00191152
31,Population_Completion,1.363e-06,32,4.25938e-08
31,Population_Evaluation,5119.33,32,159.979
31,Total_Breeding,0.565141,32,0.0176607
32,Accuracy_Calculation,20.5703,33,0.623343
32,Average_Crossover,0.00540548,33,0.000163803
32,Average_Mutation,9.55456e-05,33,2.89532e-06
32,Elitism,0.00740079,33,0.000224266
32,Fitness_Statistics,5.6259e-05,33,1.70482e-06
32,Parent_Selection,0.0621777,33,0.00188417
32,Population_Completion,1.403e-06,33,4.25152e-08
32,Population_Evaluation,5208,33,157.818
32,Total_Breeding,0.5789,33,0.0175424
33,Accuracy_Calculation,21.1285,34,0.621428
33,Average_Crossover,0.00553891,34,0.000162909
33,Average_Mutation,9.79291e-05,34,2.88027e-06
33,Elitism,0.00758432,34,0.000223068
33,Fitness_Statistics,5.7712e-05,34,1.69741e-06
33,Parent_Selection,0.063213,34,0.00185921
33,Population_Completion,1.443e-06,34,4.24412e-08
33,Population_Evaluation,5285.68,34,155.461
33,Total_Breeding,0.592702,34,0.0174324
34,Accuracy_Calculation,21.6589,35,0.618825
34,Average_Crossover,0.00567683,35,0.000162195
34,Average_Mutation,0.000100644,35,2.87555e-06
34,Elitism,0.00776183,35,0.000221767
34,Fitness_Statistics,6.0046e-05,35,1.7156e-06
34,Parent_Selection,0.0643023,35,0.00183721
34,Population_Completion,1.483e-06,35,4.23714e-08
34,Population_Evaluation,5339.9,35,152.569
34,Total_Breeding,0.606967,35,0.0173419
35,Accuracy_Calculation,22.2496,36,0.618045
35,Average_Crossover,0.00581229,36,0.000161452
35,Average_Mutation,0.000103403,36,2.8723e-06
35,Elitism,0.00793613,36,0.000220448
35,Fitness_Statistics,6.1719e-05,36,1.71442e-06
35,Parent_Selection,0.0656363,36,0.00182323
35,Population_Completion,1.523e-06,36,4.23056e-08
35,Population_Evaluation,5402.3,36,150.064
35,Total_Breeding,0.621263,36,0.0172573
36,Accuracy_Calculation,22.7953,37,0.61609
36,Average_Crossover,0.00594416,37,0.000160653
36,Average_Mutation,0.000105989,37,2.86457e-06
36,Elitism,0.00810375,37,0.00021902
36,Fitness_Statistics,6.3532e-05,37,1.71708e-06
36,Parent_Selection,0.0668359,37,0.00180637
36,Population_Completion,1.563e-06,37,4.22432e-08
36,Population_Evaluation,5460.49,37,147.581
36,Total_Breeding,0.635118,37,0.0171654
37,Accuracy_Calculation,23.311,38,0.613448
37,Average_Crossover,0.00607416,38,0.000159846
37,Average_Mutation,0.00010908,38,2.87052e-06
37,Elitism,0.00829157,38,0.000218199
37,Fitness_Statistics,6.5226e-05,38,1.71647e-06
37,Parent_Selection,0.0680327,38,0.00179033
37,Population_Completion,1.603e-06,38,4.21842e-08
37,Population_Evaluation,5495.24,38,144.612
37,Total_Breeding,0.648755,38,0.0170725
38,Accuracy_Calculation,23.9123,39,0.613135
38,Average_Crossover,0.00622995,39,0.000159742
38,Average_Mutation,0.000111976,39,2.87119e-06
38,Elitism,0.0085636,39,0.000219579
38,Fitness_Statistics,6.7079e-05,39,1.71997e-06
38,Parent_Selection,0.0691758,39,0.00177374
38,Population_Completion,1.653e-06,39,4.23846e-08
38,Population_Evaluation,5534.16,39,141.902
38,Total_Breeding,0.664801,39,0.0170462
39,Accuracy_Calculation,24.3808,40,0.609519
39,Average_Crossover,0.00638602,40,0.00015965
39,Average_Mutation,0.000114922,40,2.87304e-06
39,Elitism,0.0087729,40,0.000219322
39,Fitness_Statistics,6.8812e-05,40,1.7203e-06
39,Parent_Selection,0.0705729,40,0.00176432
39,Population_Completion,1.703e-06,40,4.2575e-08
39,Population_Evaluation,5643.9,40,141.097
39,Total_Breeding,0.681114,40,0.0170278
40,Accuracy_Calculation,24.8524,41,0.606156
40,Average_Crossover,0.00654032,41,0.00015952
40,Average_Mutation,0.000118416,41,2.8882e-06
40,Elitism,0.00898768,41,0.000219212
40,Fitness_Statistics,7.0345e-05,41,1.71573e-06
40,Parent_Selection,0.071603,41,0.00174642
40,Population_Completion,1.753e-06,41,4.27561e-08
40,Population_Evaluation,5729.86,41,139.753
40,Total_Breeding,0.696898,41,0.0169975
41,Accuracy_Calculation,25.2962,42,0.602291
41,Average_Crossover,0.00667117,42,0.000158837
41,Average_Mutation,0.000121043,42,2.88198e-06
41,Elitism,0.00916199,42,0.000218143
41,Fitness_Statistics,7.1687e-05,42,1.70683e-06
41,Parent_Selection,0.0726165,42,0.00172896
41,Population_Completion,1.793e-06,42,4.26905e-08
41,Population_Evaluation,5817.97,42,138.523
41,Total_Breeding,0.710419,42,0.0169147
42,Accuracy_Calculation,25.7381,43,0.598561
42,Average_Crossover,0.00680122,43,0.000158168
42,Average_Mutation,0.000123737,43,2.87761e-06
42,Elitism,0.00932507,43,0.000216862
42,Fitness_Statistics,7.3811e-05,43,1.71653e-06
42,Parent_Selection,0.0739601,43,0.00172
42,Population_Completion,1.833e-06,43,4.26279e-08
42,Population_Evaluation,5890.87,43,136.997
42,Total_Breeding,0.724216,43,0.0168422
43,Accuracy_Calculation,26.2768,44,0.597199
43,Average_Crossover,0.00695435,44,0.000158053
43,Average_Mutation,0.000126336,44,2.87127e-06
43,Elitism,0.00951946,44,0.000216351
43,Fitness_Statistics,7.5213e-05,44,1.70939e-06
43,Parent_Selection,0.0750379,44,0.00170541
43,Population_Completion,1.883e-06,44,4.27955e-08
43,Population_Evaluation,5964.87,44,135.565
43,Total_Breeding,0.739944,44,0.0168169
44,Accuracy_Calculation,26.7983,45,0.595517
44,Average_Crossover,0.00706566,45,0.000157015
44,Average_Mutation,0.000128709,45,2.86021e-06
44,Elitism,0.00967637,45,0.00021503
44,Fitness_Statistics,7.6826e-05,45,1.70724e-06
44,Parent_Selection,0.07601,45,0.00168911
44,Population_Completion,1.923e-06,45,4.27333e-08
44,Population_Evaluation,6036.09,45,134.135
44,Total_Breeding,0.751595,45,0.0167021
45,Accuracy_Calculation,27.2674,46,0.59277
45,Average_Crossover,0.00718203,46,0.000156131
45,Average_Mutation,0.000131404,46,2.8566e-06
45,Elitism,0.00986869,46,0.000214537
45,Fitness_Statistics,7.8119e-05,46,1.69824e-06
45,Parent_Selection,0.0769871,46,0.00167363
45,Population_Completion,1.963e-06,46,4.26739e-08
45,Population_Evaluation,6112.47,46,132.88
45,Total_Breeding,0.763711,46,0.0166024
46,Accuracy_Calculation,27.7436,47,0.590288
46,Average_Crossover,0.00729858,47,0.000155289
46,Average_Mutation,0.000133956,47,2.85012e-06
46,Elitism,0.0100464,47,0.000213753
46,Fitness_Statistics,7.9602e-05,47,1.69366e-06
46,Parent_Selection,0.0779903,47,0.00165937
46,Population_Completion,2.003e-06,47,4.2617e-08
46,Population_Evaluation,6188.36,47,131.667
46,Total_Breeding,0.775858,47,0.0165076
47,Accuracy_Calculation,28.2224,48,0.587966
